Year	Mean	Fluct	Weight
1972-12-31	-9999.0	-9999.0	0.0
1973-12-31	-9999.0	-9999.0	0.0
1974-12-31	-9999.0	-9999.0	0.0
1975-12-31	-9999.0	-9999.0	0.0
1976-12-31	-9999.0	-9999.0	0.0
1977-12-31	-9999.0	-9999.0	0.0
1978-12-31	-9999.0	-9999.0	0.0
1979-12-31	-9999.0	-9999.0	0.0
1980-12-31	-9999.0	-9999.0	0.0
1981-12-31	-9999.0	-9999.0	0.0
1982-12-31	-9999.0	-9999.0	0.0
1983-12-31	-9999.0	-9999.0	0.0
1984-12-31	-9999.0	-9999.0	0.0
1985-12-31	-9999.0	-9999.0	0.0
1986-12-31	-9999.0	-9999.0	0.0
1987-12-31	-9999.0	-9999.0	0.0
1988-12-31	-9999.0	-9999.0	0.0
1989-12-31	-9999.0	-9999.0	0.0
1990-12-31	-9999.0	-9999.0	0.0
1991-12-31	-9999.0	-9999.0	0.0
1992-12-31	-9999.0	-9999.0	0.0
1993-12-31	-9999.0	-9999.0	0.0
1994-12-31	-9999.0	-9999.0	0.0
1995-12-31	-9999.0	-9999.0	0.0
1996-12-31	15.25	6.289007394083303	0.015488476863536915
1997-12-31	14.35	5.389007394083302	0.015488476863536915
1998-12-31	13.87	4.909007394083302	0.015488476863536915
1999-12-31	13.246666666666668	4.285674060749971	0.015488476863536915
2000-12-31	12.303333333333333	3.3423407274166355	0.015488476863536915
2001-12-31	11.665	2.704007394083302	0.015488476863536915
2002-12-31	-9999.0	-9999.0	0.0
2003-12-31	-9999.0	-9999.0	0.0
2004-12-31	8.285833333333334	-0.6751592725833628	0.400881556245207
2005-12-31	7.171666666666666	-1.7893259392500314	0.5101285038747854
2006-12-31	5.953333333333333	-3.007659272583364	0.4524354027798981
2007-12-31	5.257536231884063	-3.7034563740326343	0.7092179126169801
2008-12-31	5.231540616246503	-3.7294519896701948	0.712387028796914
2009-12-31	4.848082191780823	-4.112910414135874	0.7056856197939478
2010-12-31	4.21939726027398	-4.741595345642717	0.7097599271771131
2011-12-31	3.801506849315059	-5.159485756601638	0.7118023088463822
